日期,产品,销售额,销量,成本,利润,部门,地区
2024-01-01,产品A,12500,150,8000,4500,销售部,华东
2024-01-01,产品B,8900,120,5500,3400,销售部,华北
2024-01-01,产品C,6700,90,4200,2500,市场部,华南
2024-02-01,产品A,13800,165,8500,5300,销售部,华东
2024-02-01,产品B,9200,125,5800,3400,销售部,华北
2024-02-01,产品C,7100,95,4500,2600,市场部,华南
2024-03-01,产品A,15200,180,9200,6000,销售部,华东
2024-03-01,产品B,10500,140,6300,4200,销售部,华北
2024-03-01,产品C,7800,105,4800,3000,市场部,华南
2024-04-01,产品A,14500,172,8800,5700,销售部,华东
2024-04-01,产品B,9800,132,6000,3800,销售部,华北
2024-04-01,产品C,8200,110,5100,3100,市场部,华南
2024-05-01,产品A,16800,200,10000,6800,销售部,华东
2024-05-01,产品B,11200,150,6800,4400,销售部,华北
2024-05-01,产品C,8900,120,5500,3400,市场部,华南
2024-06-01,产品A,18500,220,11000,7500,销售部,华东
2024-06-01,产品B,12800,170,7600,5200,销售部,华北
2024-06-01,产品C,9500,128,5800,3700,市场部,华南
2024-07-01,产品A,17200,205,10200,7000,销售部,华东
2024-07-01,产品B,11500,155,7000,4500,销售部,华北
2024-07-01,产品C,8600,115,5300,3300,市场部,华南
2024-08-01,产品A,19800,235,11800,8000,销售部,华东
2024-08-01,产品B,13500,180,8000,5500,销售部,华北
2024-08-01,产品C,10200,138,6200,4000,市场部,华南
2024-09-01,产品A,21000,250,12500,8500,销售部,华东
2024-09-01,产品B,14200,190,8500,5700,销售部,华北
2024-09-01,产品C,10800,145,6500,4300,市场部,华南
2024-10-01,产品A,22500,268,13200,9300,销售部,华东
2024-10-01,产品B,15000,200,9000,6000,销售部,华北
2024-10-01,产品C,11500,155,6900,4600,市场部,华南
2024-11-01,产品A,25000,298,14800,10200,销售部,华东
2024-11-01,产品B,16500,220,9800,6700,销售部,华北
2024-11-01,产品C,12800,172,7600,5200,市场部,华南
2024-12-01,产品A,28000,335,16500,11500,销售部,华东
2024-12-01,产品B,18200,245,10800,7400,销售部,华北
2024-12-01,产品C,14000,188,8400,5600,市场部,华南
